modelo,rack,numero_serie,puerto_conexion,servicio,estado,u_pos,u_size
,RACK ,NUM.SERIE EQUIPO,DESCRIPCION TECNICA COMPLETA,,,Pocisiòn,
UCS-SPR-C220M5-S2,RACK 1B,WZP22050FFC,Infraestructura del Sistema Primario,,,32,1
UCS-SPR-C220M5-S2,RACK 4A,WZP22050FH0,,,,32,1
ST-FC4200-K9,RACK 1B,FCH2207V0AF,Infraestructura del Sistema Primario,,,33,1
ST-FC4200-K9,RACK 4A,FCH2207V075,,,,33,1
N2K-C2348TQ,RACK 4A,FOC2201R18B,Infraestructura del Sistema Primario,,,30,1
N2K-C2348TQ,RACK 1B,FOC2201R0Q6,,,,30,1
N9K-C93108-B18Q,RACK 3B,FDO22041UE2,Infraestructura del Sistema Primario,,,42,1
N9K-C93108-B18Q,RACK 3B,FDO22022D7Y,,,,35,1
N9K-C93108-B18Q,RACK 4A,FDO22042EKX,,,,35,1
N9K-C93108-B18Q,RACK 3B,FDO22042F2S,,,,41,1
N9K-C93108-B18Q,RACK 3A,FDO22032C6J,,,,42,1
N9K-C93108-B18Q,RACK 3A,FDO220416Z2,,,,40,1
N9K-C93108-B18Q,RACK 3A,FDO22042M2V,,,,41,1
N9K-C93108-B18Q,RACK 3B,FDO22041US7,,,,40,1
C1-N9K-C93180-B18Q,RACK 1B,FDO22062FJD,Infraestructura del Sistema Primario,,,28,1
C1-N9K-C93180-B18Q,RACK 1B,FDO220703CY,,,,27,1
FPR2140-BUN,RACK 4A,JMX2211Y0AC,,,,36,1
C1-N9K-C93180-B18Q,RACK 4A,FDO22062XS7,,,,27,1
C1-N9K-C93180-B18Q,RACK 4A,FDO22062FHL,,,,28,1
FPR2140-BUN,RACK 1B,JMX2211Y083,,,,36,1
C1-N7702-S2E-AC,RACK 1B,JPG215100FQ,Infraestructura del Sistema Primario,,,16-18,1
C1-N7702-S2E-AC,RACK 4A,JPG21520077,,,,13-15,1
C1-N7702-S2E-AC,RACK 4A,JPG21460020,,,,16-18,1
C1-N7702-S2E-AC,RACK 1B,JPG215100F7,,,,13-15,1
WS-C2960X-48TD-L,RACK 4A,FOC2208T0EB,Infraestructura del Sistema Primario,,,34,1
WS-C2960X-48TD-L,RACK 1B,FOC2208T0FF,,,,34,1
C1-C4507RE,RACK 4A,FXS2203Q1GP,Infraestructura del Sistema Primario,,,1-12,1
C1-C4507RE,RACK 1B,FXS2202Q365,,,,1-12,1
40GBASE-SR-BiDi / QSFP-40G-SR-BD=,,en USO,Infraestructura del Sistema Alterno,,,,
40GBASE-SR-BiDi / QSFP-40G-SR-BD=,,en USO,,,,,
40GBASE-SR-BiDi / QSFP-40G-SR-BD=,,en USO,,,,,
40GBASE-SR-BiDi / QSFP-40G-SR-BD=,,en USO,,,,,
40GBASE-SR-BiDi / QSFP-40G-SR-BD=,,en USO,,,,,
40GBASE-SR-BiDi / QSFP-40G-SR-BD=,,en USO,,,,,
40GBASE-SR-BiDi / QSFP-40G-SR-BD=,,en USO,,,,,
40GBASE-SR-BiDi / QSFP-40G-SR-BD=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,FNS220608C2,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,FNS220608TU,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,FNS220607M3,,,,,
