equipo_id,id,tipo,estado,destino
SN-CORE-001,Te1/0/1,SFP+,Activo,SN-SRV-002:eth0
SN-CORE-001,Te1/0/2,SFP+,Activo,SN-SRV-003:eth0
SN-CORE-001,Te1/0/3,SFP+,Inactivo,
SN-CORE-001,mgmt,RJ45,Activo,PP-001:P01
SN-SRV-002,eth0,RJ45,Activo,SN-CORE-001:Te1/0/1
SN-SRV-002,eth1,RJ45,Inactivo,
SN-SRV-002,idrac,RJ45,Activo,PP-001:P02
SN-SRV-003,eth0,RJ45,Activo,SN-CORE-001:Te1/0/2
SN-SRV-003,ilo,RJ45,Activo,PP-001:P03
FGT-EDG-004,WAN1,RJ45,Activo,
FGT-EDG-004,LAN1,RJ45,Activo,CAT-GDL-005:Gi1/0/48
CAT-GDL-005,Gi1/0/1,RJ45,Activo,
CAT-GDL-005,Gi1/0/48,RJ45,Activo,FGT-EDG-004:LAN1
